smiles,BM,SA,SC
*CC*,2689138059,7.580215354,1.541755759
*C(C*)C,2969571310,6.81263495,1.298382123
*C(C*)CC,2500329090,6.583313619,2.46203475
*C(C*)CCC,2469748496,5.862972811,2.361664522
*C(C*)C(C)C,2309333121,6.026353807,2.428457495
*C(C*)CCCC,2337311246,5.310989423,2.138163687
*C(C*)CC(C)C,2395293933,5.514917555,2.405758025
*C(C*)CCCCC,2202142028,4.877386847,2.379733478
*C(C*)CCC(CC)C,2434337805,5.319046134,3.146004649
*C(C*)CCCCCCC,2258374812,4.325837253,2.625512585
*C(C*)CCCCCCCC,2299148523,4.13254673,2.625512585
*C(C*)(C)C,4100197687,5.67263114,2.169541085
*C(C*)(CC)C,3280112964,6.091137517,2.115967574
*C(CC*)(C)C,3627698508,5.701351188,2.139989948
*C(C(C*)C)(C)C,2914481841,5.757218689,2.753943943
*C(CCC*)(C)C,3327693368,5.447604484,2.36285521
*C(CCC*)(CC)C,3127212765,5.732799974,2.702136861
*C(CCCCCCC*)C,2534166723,4.578686484,3.179751684
*C(C*)C1CC1,2410150327,5.953357427,2.530275784
*C(C*)C1CCC1,2798250965,5.417308105,2.446673519
*C(C*)C1CCCC1,3043772220,4.903314463,2.692107056
*C(C*)CC1CCCC1,2825329841,4.648575734,2.64475463
*C(C*)C1CCCCC1,2412054197,4.589071888,2.591818349
*C(C*)CC1CCCCC1,2896569303,4.394489015,2.666891126
*C(C*)Cc1ccccc1,3331812645,3.903142613,2.326159966
*C(C*)CCc1ccccc1,3247849786,3.794186714,2.495479859
*C(C*)C(c1ccccc1)C,2087252798,4.228320641,2.810324067
*C1CC(CC1)C*,3629336490,6.140448249,2.463623404
*C(C*)CCCCCC,2197677004,4.568059617,2.625512585
*C(C*)CCCCCCCCCC,2347855392,3.847980106,2.625512585
*C(C*)CCCCCCCCCCCC,2422366735,3.654586931,2.625512585
*C(C*)CCCCCCCCCCCCCCCC,2408168304,3.392241727,2.625512585
*C(C*)C(CC)C,2064184270,5.794196221,2.404102141
*C(C*)C(CC)CC,2072691360,5.318240108,2.450312168
*C(C*)CC(CC)CC,2437618884,5.110226284,2.73643617
*C(C*)CC(CC)C,2479480810,5.56160125,2.94979398
*C(C*)CC(C)(C)C,2463685193,5.428949959,2.292885725
*C(C*)CC(CC)(C)C,2991183895,5.339405053,2.889647449
*C(C*)CCCC(C)(C)C,2508826213,4.930653407,2.708449022
*C(C*)CCC1CCCCC1,3305700153,4.256131058,2.867603257
*C(C*)CCCC1CCCCC1,3218477325,4.141720784,3.080399286
