smiles,BM,SA,SC,atom_count
*CC*,2689138059.0,7.580215354,1.541755759,4
*C(C*)C,2969571310.0,6.81263495,1.298382123,5
*C(C*)CC,2500329090.0,6.583313619,2.46203475,6
*C(C*)CCC,2469748496.0,5.862972811,2.361664522,7
*C(C*)C(C)C,2309333121.0,6.026353807,2.428457495,7
*C(C*)CCCC,2337311246.0,5.310989423,2.138163687,8
*C(C*)CC(C)C,2395293933.0,5.514917555,2.405758025,8
*C(C*)CCCCC,2202142028.0,4.877386847,2.379733478,9
*C(C*)CCC(CC)C,2434337805.0,5.319046134,3.146004649,10
*C(C*)CCCCCCC,2258374812.0,4.325837253,2.625512585,11
*C(C*)CCCCCCCC,2299148523.0,4.13254673,2.625512585,12
*C(C*)(C)C,4100197687.0,5.67263114,2.169541085,6
*C(C*)(CC)C,3280112964.0,6.091137517,2.115967574,7
*C(CC*)(C)C,3627698508.0,5.701351188,2.139989948,7
*C(C(C*)C)(C)C,2914481841.0,5.757218689,2.753943943,8
*C(CCC*)(C)C,3327693368.0,5.447604484,2.36285521,8
*C(CCC*)(CC)C,3127212765.0,5.732799974,2.702136861,9
*C(CCCCCCC*)C,2534166723.0,4.578686484,3.179751684,11
*C(C*)C1CC1,2410150327.0,5.953357427,2.530275784,7
*C(C*)C1CCC1,2798250965.0,5.417308105,2.446673519,8
*C(C*)C1CCCC1,3043772220.0,4.903314463,2.692107056,9
*C(C*)CC1CCCC1,2825329841.0,4.648575734,2.64475463,10
*C(C*)C1CCCCC1,2412054197.0,4.589071888,2.591818349,10
*C(C*)CC1CCCCC1,2896569303.0,4.394489015,2.666891126,11
*C(C*)Cc1ccccc1,3331812645.0,3.903142613,2.326159966,11
*C(C*)CCc1ccccc1,3247849786.0,3.794186714,2.495479859,12
*C(C*)C(c1ccccc1)C,2087252798.0,4.228320641,2.810324067,12
*C1CC(CC1)C*,3629336490.0,6.140448249,2.463623404,8
*C(C*)CCCCCC,2197677004.0,4.568059617,2.625512585,10
*C(C*)CCCCCCCCCC,2347855392.0,3.847980106,2.625512585,14
*C(C*)CCCCCCCCCCCC,2422366735.0,3.654586931,2.625512585,16
*C(C*)CCCCCCCCCCCCCCCC,2408168304.0,3.392241727,2.625512585,20
*C(C*)C(CC)C,2064184270.0,5.794196221,2.404102141,8
*C(C*)C(CC)CC,2072691360.0,5.318240108,2.450312168,9
*C(C*)CC(CC)CC,2437618884.0,5.110226284,2.73643617,10
*C(C*)CC(CC)C,2479480810.0,5.56160125,2.94979398,9
*C(C*)CC(C)(C)C,2463685193.0,5.428949959,2.292885725,9
*C(C*)CC(CC)(C)C,2991183895.0,5.339405053,2.889647449,10
*C(C*)CCCC(C)(C)C,2508826213.0,4.930653407,2.708449022,11
*C(C*)CCC1CCCCC1,3305700153.0,4.256131058,2.867603257,12
*C(C*)CCCC1CCCCC1,3218477325.0,4.141720784,3.080399286,13
*C1(CCC(CC1)C)C*,3003702215.0,4.718736033,2.721719687,10
*C(C*)(CCC)C,2589319935.0,5.571811401,2.587337735,8
*/C=C/CC*,1948824104.0,6.665661318,2.261726228,6
*/C=C\CC*,2224065487.0,6.665661318,1.932853367,6
*C=CCC*,1889092598.0,6.665661318,1.900867094,6
*C(C)C(C)*,2479554982.0,6.24326057,1.214402587,6
*C(C(CC*)C)C,2997521163.0,6.095059298,2.480514178,8
*C1C(CCC1)CC*,3095424335.0,5.788741745,2.854253131,9
*C=CCCCCCCCC*,2144171695.0,4.090953779,2.718664765,12
*C(C*)CCCCCCCCCCCCCCCCCCCC,2468480320.0,3.161566396,2.625512585,24
*/C=C/CCCCCCCCCC*,2398372181.0,3.758462509,2.618285623,14
*C(C*)CCCCCCCCCCCCCC,2482987436.0,3.520648814,2.625512585,18
*C=CCCCCCC*,2282436457.0,4.589623762,2.718664765,10
*/C=C/CCC*,1741803474.0,5.921314275,2.483230145,7
*C(C*)C(C)(C)C,2559884628.0,5.710870511,2.007683746,8
*/C=C\CCCC*,2221658345.0,5.388981757,2.317689495,8
*C(C*)CCCCCCCCCCCCC,2494758206.0,3.581551384,2.625512585,17
*C(CC)C(CC)*,2255835010.0,6.039480837,1.404320804,8
*C(C*)CCCCCCCCCCC,2232573581.0,3.742292234,2.625512585,15
*C(C*)CCCCCCCCC,2230989298.0,3.976062052,2.625512585,13
*C(C*)C1CC(CCC1)C,2848428912.0,5.128018786,2.845228215,11
*C(C*)C1CCC(CC1)C,2470219777.0,4.614649561,3.165882212,11
*C(C*)C1CC=CCC1,2238836564.0,5.51426473,2.612723983,10
*C(=CCC*)CCCCCCC,2275781877.0,4.073343596,2.53128912,13
*C(=CCC*)C(C)C,2468276940.0,5.428167138,2.107683218,9
*/C=C\CCC*,2183122795.0,5.921314275,2.185752721,7
*C(C*)CCC(C)(C)C,2365523781.0,5.149374899,2.458412312,10
*C1C(CC1)*,2332540975.0,6.793458439,1.508018445,6
*/C=C\*,2800524577.0,7.826338431,1.660729761,4
*/C=C\CCCCC*,2287760654.0,4.938276007,2.56187061,9
*C1CC(CC1)C=C*,2239557870.0,6.180094975,2.32671701,9
*/C=C/C(C*)C(CC)C,2483174899.0,5.885694654,2.188831912,10
*C(=CCC*)CCC,2190256533.0,5.283603007,2.290821083,9
*C=CCCCCCCCCCC*,2417201336.0,3.758462509,2.718664765,14
*C1(CCCCC1)C*,3244007903.0,4.755506776,2.010029386,9
*C=CC(CCCCC*)C,2340889656.0,5.1096311,3.241597045,11
*/C(=C\CC*)C(C)(C)C,2938562616.0,5.175253367,2.051376972,10
*C(C*)c1ccccc1,2474507328.0,4.11851035,2.195807612,10
*C(C*)c1c(cccc1)C,2794609495.0,4.129346484,2.092169959,11
*C(C*)c1c(cccc1)CC,2338315880.0,4.068682395,2.421444634,12
*C(C*)c1c(cccc1)COC,2402472377.0,4.045335129,2.608225064,13
*C(C*)c1c(cccc1)COCC,2254908598.0,3.977306734,2.400991369,14
*C(C*)c1c(cccc1)COCCC,2102634785.0,3.899670256,2.624504195,15
*C(C*)c1c(cccc1)COC(C)C,2207995987.0,3.998372025,2.599561713,15
*C(C*)c1c(cccc1)COCCCC,2463033223.0,3.764940777,2.661642313,16
*C(C*)c1c(cccc1)COCCCCC,2267395855.0,3.676521576,2.522406895,17
