smiles,TC,SA,SC,atom_count
*CC*,0.456184962,7.580215354,1.541755759,4
*C(C*)C,0.25877338,6.81263495,1.298382123,5
*C(C*)CC,0.264363289,6.583313619,2.46203475,6
*C(C*)CCC,0.261130695,5.862972811,2.361664522,7
*C(C*)C(C)C,0.234342233,6.026353807,2.428457495,7
*C(C*)CCCC,0.275330549,5.310989423,2.138163687,8
*C(C*)CC(C)C,0.240918065,5.514917555,2.405758025,8
*C(C*)CCCCC,0.27463839,4.877386847,2.379733478,9
*C(C*)CCC(CC)C,0.265949678,5.319046134,3.146004649,10
*C(C*)CCCCCCC,0.3025418,4.325837253,2.625512585,11
*C(C*)CCCCCCCC,0.311086292,4.13254673,2.625512585,12
*C(C*)(C)C,0.239525744,5.67263114,2.169541085,6
*C(C*)(CC)C,0.238234779,6.091137517,2.115967574,7
*C(CC*)(C)C,0.243031165,5.701351188,2.139989948,7
*C(C(C*)C)(C)C,0.236350165,5.757218689,2.753943943,8
*C(CCC*)(C)C,0.26184049,5.447604484,2.36285521,8
*C(CCC*)(CC)C,0.255337725,5.732799974,2.702136861,9
*C(CCCCCCC*)C,0.335492597,4.578686484,3.179751684,11
*C(C*)C1CC1,0.241876535,5.953357427,2.530275784,7
*C(C*)C1CCC1,0.225308463,5.417308105,2.446673519,8
*C(C*)C1CCCC1,0.231107263,4.903314463,2.692107056,9
*C(C*)CC1CCCC1,0.258406248,4.648575734,2.64475463,10
*C(C*)C1CCCCC1,0.209246003,4.589071888,2.591818349,10
*C(C*)CC1CCCCC1,0.229332958,4.394489015,2.666891126,11
*C(C*)Cc1ccccc1,0.192462189,3.903142613,2.326159966,11
*C(C*)CCc1ccccc1,0.213754837,3.794186714,2.495479859,12
*C(C*)C(c1ccccc1)C,0.185319288,4.228320641,2.810324067,12
*C1CC(CC1)C*,0.316659421,6.140448249,2.463623404,8
*C(C*)CCCCCC,0.285305157,4.568059617,2.625512585,10
*C(C*)CCCCCCCCCC,0.342728736,3.847980106,2.625512585,14
*C(C*)CCCCCCCCCCCC,0.357973495,3.654586931,2.625512585,16
*C(C*)CCCCCCCCCCCCCCCC,0.373038526,3.392241727,2.625512585,20
*C(C*)C(CC)C,0.234228593,5.794196221,2.404102141,8
*C(C*)C(CC)CC,0.243101437,5.318240108,2.450312168,9
*C(C*)CC(CC)CC,0.26234017,5.110226284,2.73643617,10
*C(C*)CC(CC)C,0.263746378,5.56160125,2.94979398,9
*C(C*)CC(C)(C)C,0.234660455,5.428949959,2.292885725,9
*C(C*)CC(CC)(C)C,0.232292247,5.339405053,2.889647449,10
*C(C*)CCCC(C)(C)C,0.257288867,4.930653407,2.708449022,11
*C(C*)CCC1CCCCC1,0.251637679,4.256131058,2.867603257,12
*C(C*)CCCC1CCCCC1,0.265537579,4.141720784,3.080399286,13
*C1(CCC(CC1)C)C*,0.21062304,4.718736033,2.721719687,10
*C(C*)(CCC)C,0.243076256,5.571811401,2.587337735,8
*/C=C/CC*,0.303711437,6.665661318,2.261726228,6
*/C=C\CC*,0.266947942,6.665661318,1.932853367,6
*C=CCC*,0.314780299,6.665661318,1.900867094,6
*C(C)C(C)*,0.264498348,6.24326057,1.214402587,6
*C(C(CC*)C)C,0.254887827,6.095059298,2.480514178,8
*C1C(CCC1)CC*,0.250907231,5.788741745,2.854253131,9
*C=CCCCCCCCC*,0.343357529,4.090953779,2.718664765,12
*C(C*)CCCCCCCCCCCCCCCCCCCC,0.393169818,3.161566396,2.625512585,24
*/C=C/CCCCCCCCCC*,0.336324709,3.758462509,2.618285623,14
*C(C*)CCCCCCCCCCCCCC,0.365110117,3.520648814,2.625512585,18
*C=CCCCCCC*,0.302191029,4.589623762,2.718664765,10
*/C=C/CCC*,0.289325665,5.921314275,2.483230145,7
*C(C*)C(C)(C)C,0.210797175,5.710870511,2.007683746,8
*/C=C\CCCC*,0.263602776,5.388981757,2.317689495,8
*C(C*)CCCCCCCCCCCCC,0.349106811,3.581551384,2.625512585,17
*C(CC)C(CC)*,0.250042719,6.039480837,1.404320804,8
*C(C*)CCCCCCCCCCC,0.329033378,3.742292234,2.625512585,15
*C(C*)CCCCCCCCC,0.296879704,3.976062052,2.625512585,13
*C(C*)C1CC(CCC1)C,0.212366103,5.128018786,2.845228215,11
*C(C*)C1CCC(CC1)C,0.229479225,4.614649561,3.165882212,11
*C(C*)C1CC=CCC1,0.196699201,5.51426473,2.612723983,10
*C(=CCC*)CCCCCCC,0.278102134,4.073343596,2.53128912,13
*C(=CCC*)C(C)C,0.235767575,5.428167138,2.107683218,9
*/C=C\CCC*,0.244482147,5.921314275,2.185752721,7
*C(C*)CCC(C)(C)C,0.249457925,5.149374899,2.458412312,10
*C1C(CC1)*,0.236871624,6.793458439,1.508018445,6
*/C=C\*,0.573236329,7.826338431,1.660729761,4
*/C=C\CCCCC*,0.271936281,4.938276007,2.56187061,9
*C1CC(CC1)C=C*,0.309193929,6.180094975,2.32671701,9
*/C=C/C(C*)C(CC)C,0.237962753,5.885694654,2.188831912,10
*C(=CCC*)CCC,0.257522564,5.283603007,2.290821083,9
*C=CCCCCCCCCCC*,0.357300526,3.758462509,2.718664765,14
*C1(CCCCC1)C*,0.209508397,4.755506776,2.010029386,9
*C=CC(CCCCC*)C,0.264312063,5.1096311,3.241597045,11
*/C(=C\CC*)C(C)(C)C,0.230866797,5.175253367,2.051376972,10
*C(C*)c1ccccc1,0.203029804,4.11851035,2.195807612,10
*C(C*)c1c(cccc1)C,0.23889195,4.129346484,2.092169959,11
*C(C*)c1c(cccc1)CC,0.223756212,4.068682395,2.421444634,12
*C(C*)c1c(cccc1)COC,0.19732083,4.045335129,2.608225064,13
*C(C*)c1c(cccc1)COCC,0.211823768,3.977306734,2.400991369,14
*C(C*)c1c(cccc1)COCCC,0.22997739,3.899670256,2.624504195,15
*C(C*)c1c(cccc1)COC(C)C,0.220707828,3.998372025,2.599561713,15
*C(C*)c1c(cccc1)COCCCC,0.220379086,3.764940777,2.661642313,16
*C(C*)c1c(cccc1)COCCCCC,0.238571654,3.676521576,2.522406895,17
*C(C*)c1c(cccc1)COCCC(C)C,0.237360118,3.807796494,2.955328623,17
*C(C*)c1c(cccc1)COCc1ccccc1,0.204719244,3.349117609,2.36734915,19
*C(C*)c1c(cccc1)COCCc1ccccc1,0.206285623,3.355344331,2.595108535,20
*C(C*)c1c(cccc1)C(=O)NC,0.192915175,3.929106329,2.79211763,14
*C(C*)c1c(cccc1)C(=O)N(C)C,0.186909259,3.887618497,2.896475441,15
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,0.197508078,3.193131502,2.790596243,19
*C(C*)c1c(cccc1)C(=O)O,0.221643379,3.948216667,2.192039543,13
*C(C*)c1c(cccc1)C(=O)OC,0.193160544,3.837295398,2.089870635,14
*C(C*)c1c(cccc1)C(=O)OCC,0.216698631,3.711398666,2.190311028,15
*C(C*)c1c(cccc1)C(=O)OCCC,0.209516095,3.714071826,2.639670961,16
*C(C*)c1c(cccc1)C(=O)OC(C)C,0.208751466,3.790108434,2.467091064,16
*C(C*)c1c(cccc1)C(=O)OCCCC,0.225796643,3.610968998,2.624295737,17
*C(C*)c1c(cccc1)C(=O)OCC(C)C,0.203326994,3.732460288,2.38677197,17
*C(C*)c1c(cccc1)C(=O)OCCCCC,0.230202874,3.538396651,2.717138642,18
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,0.218106694,3.666626503,3.041385899,18
*C(C*)c1c(cccc1)C(=O)OCCCCCC,0.238187774,3.485172624,2.83888191,19
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,0.192525654,3.321362271,2.351329457,19
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,0.216260507,3.711714101,3.022018795,18
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,0.258067435,3.613787885,3.089843411,18
*C(C*)c1c(cccc1)OC,0.214975451,3.922949527,2.400737779,12
*C(C*)c1c(cccc1)Cl,0.155241408,4.163283407,2.294767218,11
*C(C*)c1c(cccc1)F,0.180059006,4.187324946,2.407295058,11
*C(C*)c1cc(ccc1)C,0.227224304,4.1790311,2.822879196,11
*C(C*)c1cc(ccc1)CC,0.230753147,4.076918758,2.866700886,12
*C(C*)c1cc(ccc1)c1ccc(cc1)c1ccccc1,0.222348269,3.04323388,3.140369224,22
*C(C*)c1cc(ccc1)Cl,0.141849652,4.203349561,2.331941777,11
*C(C*)c1cc(ccc1)F,0.165605561,4.224672638,2.29773731,11
*C(C*)c1ccc(cc1)C,0.207409376,4.077169561,2.314815286,11
*C(C*)c1ccc(cc1)CC,0.241331997,3.954191485,2.499433175,12
*C(C*)c1ccc(cc1)C(C)C,0.245006224,3.921450074,2.591048259,13
*C(C*)c1ccc(cc1)CCCC,0.246370764,3.688362355,3.197522049,14
*C(C*)c1ccc(cc1)C(C)(C)C,0.235879806,3.8964427,2.517668305,14
*C(C*)c1ccc(cc1)C(CC)C,0.23187009,4.1713254,2.837898017,14
*C(C*)c1ccc(cc1)CCCCCC,0.255178414,3.508642315,3.338917198,16
*C(C*)c1ccc(cc1)CCCCCCCC,0.284941701,3.391874153,3.338917198,18
*C(C*)c1ccc(cc1)CCCCCCCCC,0.276524365,3.348282784,3.338917198,19
*C(C*)c1ccc(cc1)CCCCCCCCCC,0.300936032,3.312533036,3.338917198,20
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,0.302738789,3.260217637,3.338917198,22
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,0.320037972,3.228118484,3.338917198,24
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,0.337054547,3.211585483,3.338917198,26
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,0.317277699,3.207331128,3.338917198,28
*C(C*)c1ccc(cc1)c1ccccc1,0.200955009,3.267400376,2.764095896,16
*C(C*)c1ccc(cc1)COCCOCC,0.249515883,3.669356191,2.726303917,17
*C(C*)c1ccc(cc1)C#N,0.174135805,4.208675402,2.256511188,12
*C(C*)c1ccc(cc1)Cl,0.150273069,4.1097311,2.229277029,11
*C(C*)c1ccc(cc1)Br,0.124850886,4.233529561,1.9896503,11
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.116253947,4.065470177,3.240153251,32
*C(C*)c1ccc(cc1)C(=NO)C,0.262934975,4.150007138,2.430708832,14
*C(C*)c1ccc(cc1)C(O)(C)C,0.268025613,4.147099249,2.70351459,14
*C(C*)c1ccc(cc1)C(CC)(O)C,0.260987479,4.465240241,2.929858284,15
*C(C*)c1ccc(cc1)C(CCC)(O)C,0.266747745,4.356420123,2.80376597,16
*C(C*)c1ccc(cc1)C(CCCC)(O)C,0.262999518,4.220278286,2.964009867,17
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,0.27418578,4.117727744,3.078427117,18
*C(C*)c1ccc(cc1)C(CCN(C)C)O,0.268210349,4.147510727,3.006730241,17
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,0.250363552,3.827767897,3.321326325,20
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,0.232670764,3.907315265,3.401291291,20
*C(C*)c1ccc(cc1)COC,0.228853851,3.901488975,2.722398882,13
*C(C*)c1ccc(cc1)COCCO,0.25859742,3.830512014,2.49077112,15
*C(C*)c1ccc(cc1)COCCC,0.237335127,3.756454871,2.638273194,15
*C(C*)c1ccc(cc1)COCCCC,0.260603141,3.631273085,2.624836095,16
*C(C*)c1ccc(cc1)COCCCCO,0.272183986,3.670348499,2.462797718,17
*C(C*)c1ccc(cc1)COC(CC)C,0.247595241,4.118770213,2.740969554,16
*C(C*)c1ccc(cc1)COCCCCCC,0.261210733,3.492090443,2.774107518,18
